,offense,defense,scoring,elapsed,plays,start_yards_to_goal,yards,drive_result,off_points_gained
295,BYU,Utah,1,2.6333333333333333,9,75,75,RUSHING TD,6
296,Utah,BYU,1,4.75,9,75,57,FG GOOD,3
297,BYU,Utah,0,1.0833333333333333,4,80,39,INT,0
298,Utah,BYU,1,0.36666666666666664,3,44,44,PASSING TD,6
299,BYU,Utah,0,0.23333333333333334,1,77,-2,END OF HALF,0
300,BYU,Utah,0,1.3833333333333333,5,85,23,PUNT,0
301,Utah,BYU,0,2.75,5,80,37,PUNT,0
302,BYU,Utah,1,4.1,11,83,83,RUSHING TD,6
303,Utah,BYU,0,1.5166666666666666,3,57,7,PUNT,0
304,BYU,Utah,0,2.033333333333333,6,80,26,INT,0
305,Utah,BYU,0,2.2333333333333334,3,78,6,PUNT,0
306,BYU,Utah,0,0.8666666666666667,2,78,9,FUMBLE,0
307,Utah,BYU,1,0.6,4,31,31,PASSING TD,6
308,BYU,Utah,0,2.45,5,81,14,INT,0
309,Utah,BYU,1,0.06666666666666667,1,4,4,PASSING TD,6
310,BYU,Utah,0,3.966666666666667,8,75,56,INT,0
311,Utah,BYU,1,5.4,9,29,29,PASSING TD,6
312,BYU,Utah,0,0.5333333333333333,4,67,13,INT,0
313,Utah,BYU,0,2.1,4,60,0,END OF GAME,0
